,Date,Open,High,Low,Close,MACD,Signal,BuyOrSell
193,2018-03-14,690.16,703.54,585.0,610.1,-60.70761366690044,-51.893800633993834,0
194,2018-03-15,610.1,621.12,570.0,608.83,-65.80404764728473,-56.530549638424134,0
195,2018-03-16,608.83,625.3,584.15,599.05,-69.82724751627768,-60.96278226437532,0
196,2018-03-17,599.03,609.26,544.0,546.95,-76.33970043339434,-66.08842165404833,0
197,2018-03-18,547.98,560.0,450.0,537.0,-81.3658136826067,-71.18088566356779,0
198,2018-03-19,537.39,560.0,515.8,556.88,-82.79053701252963,-75.05076944655508,0
199,2018-03-20,556.88,567.87,515.0,557.0,-82.95371868682787,-77.68508585997935,0
200,2018-03-21,557.0,590.52,545.11,559.17,-81.96312064034544,-79.11109745343472,0
201,2018-03-22,559.15,578.6,516.0,539.92,-81.7885709385107,-80.00358861512672,0
202,2018-03-23,539.78,544.72,506.71,543.03,-80.47166081954026,-80.15961268326457,0
203,2018-03-24,543.2,545.99,518.63,520.22,-80.34243880815848,-80.22055472489588,0
204,2018-03-25,521.17,536.0,512.0,523.74,-79.04481542250994,-79.82864162410057,1
205,2018-03-26,523.95,527.67,465.56,485.0,-80.21773367680225,-79.95833897500114,0
206,2018-03-27,485.0,491.55,446.0,448.5,-83.13420542957488,-81.01696112652573,0
207,2018-03-28,448.5,466.0,440.14,446.67,-84.61777497457251,-82.217232409208,0
208,2018-03-29,446.07,449.43,380.0,384.0,-89.81512689758125,-84.74986390533242,0
209,2018-03-30,383.87,412.04,366.0,392.43,-92.1911134253221,-87.23028041199565,0
210,2018-03-31,392.4,419.4,388.52,393.92,-92.88316995360549,-89.1145769258656,0
211,2018-04-01,393.93,399.91,356.9,378.58,-93.59058552472663,-90.60657979215262,0
212,2018-04-02,378.58,394.87,375.0,385.05,-92.56214375822918,-91.25843444751148,0
213,2018-04-03,385.0,419.08,380.13,415.01,-88.31157378438388,-90.27614755980228,1
214,2018-04-04,415.0,416.5,370.0,378.16,-86.91455658226135,-89.15561723395531,1
215,2018-04-05,378.15,387.03,365.61,381.22,-84.58544559390594,-87.6322266872722,1
216,2018-04-06,381.56,385.91,362.54,368.89,-82.78029657916704,-86.01491665123714,1
217,2018-04-07,368.89,394.75,368.28,384.51,-79.17660095133266,-83.73547808460232,1
218,2018-04-08,384.51,404.05,384.0,400.4,-74.1833169015897,-80.55142435693145,1
219,2018-04-09,400.4,431.99,387.1,399.44,-69.50238704037696,-76.86841191807996,1
220,2018-04-10,399.25,418.68,391.4,416.07,-63.716332168596296,-72.48438533491874,1
221,2018-04-11,415.53,433.54,410.38,429.52,-57.38405177425426,-67.45094081469725,1
222,2018-04-12,429.9,499.0,412.88,495.67,-46.49199104621698,-60.46462422520383,1
223,2018-04-13,494.3,530.0,480.22,495.11,-37.47317433853857,-52.800807596315416,1
224,2018-04-14,494.69,515.0,485.58,502.68,-29.376230486784436,-44.99261522647176,1
225,2018-04-15,502.68,535.0,502.51,533.88,-20.208810312483763,-36.7313469218091,1
226,2018-04-16,533.88,538.0,497.31,511.46,-14.58454880484095,-29.349080882819717,1
227,2018-04-17,512.09,521.2,500.02,502.56,-10.721841939253636,-23.14000123496436,1
228,2018-04-18,502.56,526.99,501.12,526.09,-5.696281381437359,-17.32542795045536,1
229,2018-04-19,526.49,571.61,521.03,568.14,1.6604544559564829,-10.996800481651414,1
230,2018-04-20,568.14,622.17,556.5,617.09,11.310199576923708,-3.561133795459708,1
231,2018-04-21,616.8,624.5,570.23,604.87,17.766835217830476,3.5481892089703524,1
232,2018-04-22,604.87,643.49,589.0,620.92,23.903323708936,10.333234042292235,1
233,2018-04-23,620.67,649.11,618.02,645.09,30.36680245599655,17.011090180193673,1
234,2018-04-24,644.58,712.99,643.76,701.58,39.59104589080471,24.537742083730684,1
235,2018-04-25,701.16,703.3,593.83,618.0,39.69948680536038,29.591656990940585,1
236,2018-04-26,617.73,666.19,600.0,661.51,42.80291502268619,33.995409668189126,1
237,2018-04-27,661.51,686.82,635.73,643.46,43.306707329449296,37.09917555527585,1
238,2018-04-28,643.41,694.9,638.76,682.86,46.350912614469394,40.18308790834037,1
239,2018-04-29,683.5,700.49,665.28,690.85,48.84513712422063,43.07043764696712,1
240,2018-04-30,690.85,695.3,662.2,670.78,48.641636245829545,44.92750384658793,1
241,2018-05-01,670.78,675.6,627.58,672.0,48.025199532037846,45.96006907507124,1
242,2018-05-02,671.99,691.99,663.0,688.56,48.31596621459937,46.74536812158062,1
243,2018-05-03,688.55,792.08,685.39,779.0,55.207752462023905,49.56616290172838,1
244,2018-05-04,779.0,810.0,756.91,785.99,60.53575875317392,53.22269485221023,1
245,2018-05-05,785.8,832.66,781.56,819.5,66.69341885304163,57.71293618582071,1
246,2018-05-06,819.5,839.99,752.49,794.3,68.74750105261853,61.39112447475332,1
247,2018-05-07,794.3,799.14,701.0,752.49,66.23810675254197,63.006785234016206,1
248,2018-05-08,753.0,777.0,720.02,748.99,63.23800458863536,63.0838583522226,1
249,2018-05-09,748.99,760.74,710.26,751.75,60.38700711447916,62.184907939641455,1
250,2018-05-10,752.4,769.88,720.0,722.52,55.13341072174171,59.83440886700821,1
251,2018-05-11,722.52,737.23,663.0,676.96,46.75462824057422,55.47448199153022,1
252,2018-05-12,676.96,690.2,633.2,684.11,40.2276091656928,50.39219104958442,1
253,2018-05-13,684.56,742.0,666.31,729.08,38.24276391710259,46.342382005423815,1
254,2018-05-14,729.08,743.9,686.0,727.49,36.125033150633385,42.93659905382701,1
255,2018-05-15,727.49,740.0,695.0,704.91,32.25290752846354,39.375368545372524,1
256,2018-05-16,704.91,712.84,673.52,706.29,28.96172184125396,35.904152977333005,1
257,2018-05-17,706.8,719.25,662.0,667.62,22.96832311946571,31.592209691377242,1
258,2018-05-18,667.62,694.9,656.0,692.6,20.003599640919788,27.72933967455809,1
259,2018-05-19,693.26,717.8,682.31,697.0,17.80384649230507,24.420841947140417,1
260,2018-05-20,697.0,729.88,688.4,716.16,17.405933381654677,22.082539091978504,1
261,2018-05-21,716.16,720.46,688.0,696.7,15.343455207992406,19.836177797316473,1
262,2018-05-22,697.1,699.6,637.32,640.99,9.108596750473566,16.260317448368838,1
263,2018-05-23,640.86,669.0,560.0,577.19,-0.9695242262204147,10.517036890172422,0
264,2018-05-24,577.19,612.1,550.0,602.18,-6.860934971764436,4.724379602860137,0
265,2018-05-25,602.08,617.46,568.7,585.55,-12.725135014891293,-1.0921252697236725,0
266,2018-05-26,585.56,607.62,578.32,586.0,-17.138680518595947,-6.440977019347764,0
267,2018-05-27,586.03,592.0,557.43,570.4,-21.645718385958844,-11.509224141551456,0
268,2018-05-28,570.81,576.2,506.11,511.5,-29.62877405542031,-17.549074112841076,0
269,2018-05-29,511.5,573.43,510.0,567.36,-31.089586627728636,-22.062578284470263,0
270,2018-05-30,567.09,585.83,541.2,557.19,-32.69108267010438,-25.605413079681636,0
271,2018-05-31,557.87,586.73,552.98,577.81,-31.928367801081322,-27.71306465348153,0
272,2018-06-01,577.81,590.26,564.93,579.0,-30.87201435325892,-28.766047886740665,0
273,2018-06-02,579.0,599.17,572.9,590.85,-28.747270035412157,-28.7597886029645,1
274,2018-06-03,590.85,628.81,590.1,619.66,-24.456746481140158,-27.325441229023053,1
275,2018-06-04,619.66,625.47,580.15,591.02,-23.101188180999543,-25.917356879681883,1
276,2018-06-05,591.02,614.0,570.36,609.05,-20.337589077687085,-24.057434279016952,1
277,2018-06-06,609.29,613.35,593.4,607.4,-18.072232639733556,-22.062367065922487,1
278,2018-06-07,606.68,618.0,598.24,605.16,-16.270118819231698,-20.13161765035889,1
279,2018-06-08,605.2,608.45,593.33,598.68,-15.189714899246155,-18.484316733321315,1
280,2018-06-09,599.29,608.97,591.0,592.87,-14.63361821094702,-17.20075055919655,1
281,2018-06-10,592.44,592.87,501.13,524.11,-19.516293247624958,-17.97259812200602,0
282,2018-06-11,524.64,535.51,508.66,531.69,-22.514670632513457,-19.486622292175166,0
283,2018-06-12,531.08,538.88,482.0,493.0,-27.69363102657144,-22.22229187030726,0
284,2018-06-13,493.0,501.97,449.06,475.47,-32.83402870252485,-25.759537481046458,0
285,2018-06-14,475.47,529.0,460.0,519.29,-32.991616298186045,-28.170230420092988,0
286,2018-06-15,519.3,521.0,481.62,487.48,-35.27665938540554,-30.53904007519717,0
287,2018-06-16,487.47,503.28,483.72,496.74,-35.9262326373821,-32.334770929258816,0
288,2018-06-17,496.45,507.6,492.7,497.14,-35.993832961439125,-33.55445827331892,0
289,2018-06-18,497.15,524.48,487.27,517.95,-33.97655306762124,-33.695156538086366,0
290,2018-06-19,517.77,548.2,510.01,537.97,-30.41182889932952,-32.600713991834084,1
291,2018-06-20,537.68,542.02,515.08,536.49,-27.390442968054458,-30.863956983907546,1
292,2018-06-21,536.34,544.98,521.11,526.18,-25.533568600610465,-29.087160856141853,1
293,2018-06-22,526.32,526.44,450.0,462.09,-28.900364254600277,-29.02489532229466,1
294,2018-06-23,462.4,481.0,455.0,473.41,-30.305798293998578,-29.451862979529302,0
295,2018-06-24,473.4,475.81,419.53,454.41,-32.57722612208562,-30.49365069371474,0
296,2018-06-25,454.29,474.47,444.37,458.7,-33.64336215694482,-31.543554514791435,0
297,2018-06-26,459.04,460.81,429.0,429.34,-36.43736204571542,-33.17482369176609,0
298,2018-06-27,429.81,445.95,420.19,441.64,-37.22995612329112,-34.52653450227444,0
299,2018-06-28,441.36,443.96,416.45,420.22,-39.135379333661945,-36.06281611273694,0
300,2018-06-29,420.48,442.0,404.48,434.77,-39.02156128670276,-37.04906450405888,0
301,2018-06-30,434.77,463.15,434.51,454.09,-36.94650086487775,-37.01487662433184,1
302,2018-07-01,454.2,457.77,443.73,452.1,-35.058444968976346,-36.36273273921334,1
303,2018-07-02,452.14,481.83,444.16,476.25,-31.253176731800295,-34.65954740340899,1
304,2018-07-03,476.32,486.98,457.0,461.82,-29.066790771257274,-32.79529519269175,1
305,2018-07-04,461.78,482.7,458.02,467.38,-26.57903207543285,-30.723207486938787,1
306,2018-07-05,467.19,480.0,458.8,467.87,-24.28795011060822,-28.578121694828603,1
307,2018-07-06,467.79,476.0,451.29,470.47,-22.00874970955641,-26.38833103307121,1
308,2018-07-07,470.48,487.99,461.5,485.57,-18.76768102258353,-23.848114362908653,1
309,2018-07-08,485.57,495.98,482.05,486.77,-15.918778991222041,-21.20500257234645,1
310,2018-07-09,486.55,488.98,468.2,471.71,-14.706690174728351,-19.038898439807085,1
311,2018-07-10,471.73,473.23,427.69,432.48,-16.71890902021363,-18.265568633275933,1
